00   0 39264811 38346811 40182811 15.1 14.8 15.5 15727492 15239667 16215317 22.7 22.0 23.4  9814133  9407946 10220320 20.4 19.6 21.3  31241  31001  31481 5367476 5064223 5670729 26.5 25.0 28.0 United States                                 US
02  13      224      166      283  9.7  7.2 12.3       64       48       81 11.0  8.2 13.8       36       25       47  9.1  6.4 11.9  46829  43253  50385                                        Aleutians East Borough                        AK
02  16      379      281      477  6.8  5.1  8.6      100       73      127  7.6  5.6  9.7       60       41       80  7.6  5.2 10.1  42267  37322  47185                                        Aleutians West Census Area                    AK
02  20    23820    19608    28032  9.4  7.8 11.1    10421     8212    12630 13.9 10.9 16.8     5564     4093     7035 10.9  8.0 13.8  50279  48526  52022                                        Anchorage Borough                             AK
02  50     5010     3914     6107 33.2 25.9 40.4     2557     1948     3166 40.4 30.8 50.1     1601     1144     2058 38.7 27.7 49.8  30696  27715  33660                                        Bethel Census Area                            AK
02  60       74       58       91  6.5  5.0  7.9       24       18       30  6.3  4.7  7.9       13        9       17  5.0  3.5  6.5  52864  49739  55972                                        Bristol Bay Borough                           AK
02  68      124       96      152  7.0  5.5  8.6       50       38       63  8.9  6.7 11.1       31       22       41  7.9  5.6 10.3  50180  46291  54069                                        Denali Borough                                AK
02  70      927      723     1130 20.5 16.0 25.0      481      363      600 26.9 20.3 33.5      293      208      378 25.9 18.4 33.4  38034  34780  41270                                        Dillingham Census Area                        AK
02  90     7562     6049     9075  9.2  7.3 11.0     3381     2620     4143 12.5  9.7 15.3     1838     1334     2342 10.1  7.3 12.9  43442  41125  45746                                        Fairbanks North Star Borough                  AK
02 100      244      190      298 11.4  8.9 13.9       93       70      116 16.1 12.1 20.2       58       41       75 14.0  9.9 18.2  41521  38037  44986                                        Haines Borough                                AK
02 110     1775     1396     2154  6.2  4.8  7.5      829      628     1030  9.8  7.4 12.1      432      307      558  7.4  5.3  9.6  55695  53189  58187                                        Juneau Borough                                AK
02 122     5186     4118     6255 11.5  9.2 13.9     2342     1810     2874 15.7 12.2 19.3     1388     1005     1771 13.1  9.5 16.7  43977  41177  46762                                        Kenai Peninsula Borough                       AK
02 130     1076      832     1319  7.5  5.8  9.3      378      274      481  8.9  6.5 11.4      212      145      279  7.1  4.9  9.3  50189  47382  52980                                        Ketchikan Gateway Borough                     AK
02 150     1354     1054     1654  9.2  7.1 11.2      542      404      680 11.2  8.4 14.0      272      185      360  8.5  5.8 11.3  49394  45161  53603                                        Kodiak Island Borough                         AK
02 164      457      353      562 25.7 19.8 31.6      223      165      281 30.4 22.5 38.3      147      102      191 30.1 21.0 39.1  31775  28786  34749                                        Lake and Peninsula Borough                    AK
02 170     5893     4663     7122 12.1  9.6 14.6     2735     2102     3369 15.9 12.2 19.6     1621     1171     2070 13.1  9.5 16.7  45372  42412  48317                                        Matanuska-Susitna Borough                     AK
02 180     2199     1731     2667 25.1 19.7 30.4     1086      833     1339 30.3 23.2 37.3      681      490      872 28.9 20.8 37.0  35372  32467  38261                                        Nome Census Area                              AK
02 185      468      363      572  6.9  5.3  8.4      207      153      261  7.7  5.7  9.7      112       78      145  6.5  4.6  8.5  53857  50716  56981                                        North Slope Borough                           AK
02 188     1494     1167     1821 22.6 17.6 27.5      854      649     1058 27.9 21.2 34.6      516      368      664 26.7 19.0 34.4  37236  33953  40501                                        Northwest Arctic Borough                      AK
02 201      849      651     1046 12.1  9.2 14.9      381      286      477 16.3 12.2 20.3      232      164      301 14.2 10.0 18.3  42530  39709  45337                                        Prince of Wales-Outer Ketchikan Census Area   AK
02 220      609      476      742  7.1  5.5  8.6      232      175      289  8.6  6.5 10.7      127       89      164  6.6  4.6  8.5  49079  46249  51895                                        Sitka Borough                                 AK
02 232      358      280      436  9.0  7.0 11.0      143      107      179 10.5  7.9 13.1       86       61      112  8.7  6.1 11.3  41700  38468  44932                                        Skagway-Hoonah-Angoon Census Area             AK
02 240      878      683     1073 15.2 11.8 18.6      407      309      506 19.7 14.9 24.5      269      190      348 18.1 12.8 23.4  35207  32051  38345                                        Southeast Fairbanks Census Area               AK
02 261      936      734     1138  9.1  7.1 11.1      352      269      435 11.6  8.8 14.3      203      146      261  9.5  6.8 12.2  49487  46365  52593                                        Valdez-Cordova Census Area                    AK
02 270     2757     2114     3400 41.4 31.7 51.0     1560     1165     1956 48.2 36.0 60.4      967      675     1259 48.5 33.8 63.1  28507  24995  32001                                        Wade Hampton Census Area                      AK
