,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*"
2808,"Wharton County, Texas",48481.0,476.71,446.48,404.78,398.61,360.92,326.32,289.09,283.66,"-40.50 (-45.18, -35.36)",470.664,464.61799999999994,458.572,452.526,438.14000000000004,429.79999999999995,421.46,413.12,403.54600000000005,402.312,401.078,399.84400000000005,391.07200000000006,383.534,375.996,368.4580000000001,354.00000000000006,347.08,340.16,333.24,318.87399999999997,311.428,303.98199999999997,296.536,288.004,286.918,285.832
2809,"Wheeler County, Texas",48483.0,429.69,414.93,389.07,393.85,382.22,350.39,297.82,305.06,"-29.00 (-36.54, -20.39)",426.738,423.78599999999994,420.834,417.882,409.75800000000004,404.586,399.414,394.242,390.02600000000007,390.98199999999997,391.938,392.89400000000006,391.52400000000006,389.198,386.87200000000007,384.54600000000005,375.85400000000004,369.48800000000006,363.12199999999996,356.75600000000003,339.87600000000003,329.36199999999997,318.84799999999996,308.334,299.26800000000003,300.716,302.164
2810,"Wichita County, Texas",48485.0,460.16,462.78,431.4,434.82,403.77,369.94,321.64,325.65,"-29.23 (-33.71, -24.48)",460.684,461.20799999999997,461.73199999999997,462.256,456.504,450.22799999999995,443.952,437.676,432.084,432.768,433.452,434.13599999999997,428.61,422.4,416.18999999999994,409.98,397.004,390.23799999999994,383.472,376.706,360.28,350.62,340.96,331.3,322.442,323.24399999999997,324.046
2811,"Wilbarger County, Texas",48487.0,512.59,496.85,466.04,465.29,456.19,420.45,375.13,380.38,"-25.79 (-32.33, -18.69)",509.44200000000006,506.29400000000004,503.1460000000001,499.99800000000005,490.68800000000005,484.52600000000007,478.36400000000003,472.20200000000006,465.89000000000004,465.74,465.59000000000003,465.44000000000005,463.47,461.65,459.83000000000004,458.01,449.04200000000003,441.894,434.746,427.598,411.386,402.322,393.25800000000004,384.19399999999996,376.18,377.23,378.28
2812,"Willacy County, Texas",48489.0,485.26,436.68,371.06,343.25,310.41,254.23,211.34,214.87,"-55.72 (-60.25, -50.42)",475.54400000000004,465.82800000000003,456.11199999999997,446.3960000000001,423.55600000000004,410.432,397.308,384.184,365.49800000000005,359.93600000000004,354.374,348.812,336.682,330.11400000000003,323.54600000000005,316.97800000000007,299.17400000000004,287.938,276.702,265.466,245.65200000000002,237.07399999999998,228.496,219.918,212.046,212.752,213.458
2813,"Williamson County, Texas",48491.0,512.05,440.19,368.41,331.16,287.13,227.29,188.39,181.7,"-64.51 (-66.67, -62.24)",497.678,483.306,468.93399999999997,454.562,425.83400000000006,411.47799999999995,397.12200000000007,382.766,360.96000000000004,353.51000000000005,346.06,338.61000000000007,322.35400000000004,313.548,304.742,295.93600000000004,275.16200000000003,263.19399999999996,251.226,239.25799999999998,219.51,211.73,203.95,196.17,187.052,185.714,184.37599999999998
2814,"Wilson County, Texas",48493.0,451.72,421.63,381.69,364.33,345.56,304.02,255.18,260.06,"-42.43 (-47.59, -36.71)",445.70200000000006,439.68399999999997,433.666,427.648,413.64200000000005,405.654,397.666,389.67800000000005,378.218,374.746,371.274,367.802,360.576,356.822,353.068,349.314,337.25200000000007,328.94399999999996,320.63599999999997,312.32800000000003,294.252,284.484,274.716,264.948,256.156,257.132,258.108
2815,"Winkler County, Texas",48495.0,459.77,448.68,422.52,426.67,425.29,390.99,358.42,377.66,"-17.86 (-26.53, -6.79)",457.552,455.33399999999995,453.116,450.898,443.44800000000004,438.216,432.984,427.752,423.35,424.17999999999995,425.01,425.84000000000003,426.394,426.11800000000005,425.842,425.56600000000003,418.43000000000006,411.57000000000005,404.71000000000004,397.85,384.47600000000006,377.962,371.448,364.9340000000001,362.26800000000003,366.116,369.96400000000006
2816,"Wise County, Texas",48497.0,472.48,458.43,427.66,421.27,408.62,360.79,314.28,325.43,"-31.12 (-36.18, -25.41)",469.6700000000001,466.86,464.05,461.24,452.27600000000007,446.122,439.968,433.8140000000001,426.38200000000006,425.10400000000004,423.826,422.548,418.74,416.21,413.68,411.15000000000003,399.05400000000003,389.488,379.922,370.356,351.488,342.18600000000004,332.884,323.582,316.51,318.74,320.97
2817,"Wood County, Texas",48499.0,513.75,478.65,428.17,406.66,384.23,337.93,305.14,316.25,"-38.44 (-43.08, -33.42)",506.73,499.71000000000004,492.69,485.67,468.55400000000003,458.458,448.36199999999997,438.2660000000001,423.86800000000005,419.56600000000003,415.264,410.96200000000005,402.17400000000004,397.688,393.202,388.716,374.97,365.71000000000004,356.45000000000005,347.19,331.372,324.814,318.256,311.698,307.36199999999997,309.58399999999995,311.806
